央视频道,#genre#
CCTV-1综合,http://192.168.1.1:5555/rtp/239.253.92.83:8012$联通高清IPTV#http://192.168.1.1:5555/rtp/239.253.92.1:8101$联通标清IPTV
CCTV-2财经,http://192.168.1.1:5555/rtp/239.253.92.190:6065$联通高清IPTV#http://192.168.1.1:5555/rtp/239.253.92.2:8001$联通标清IPTV
CCTV-3综艺,http://192.168.1.1:5555/rtp/239.253.92.191:6057$联通高清IPTV#http://192.168.1.1:5555/rtp/239.253.92.67:6007$联通标清IPTV
CCTV-4中文国际,http://192.168.1.1:5555/rtp/239.253.92.251:6141$联通高清IPTV#http://192.168.1.1:5555/rtp/239.253.92.55:8002$联通标清IPTV
CCTV-5体育,http://192.168.1.1:5555/rtp/239.253.92.181:6046$联通高清IPTV#http://192.168.1.1:5555/rtp/239.253.92.62:6008$联通标清IPTV
CCTV-5+体育,http://192.168.1.1:5555/rtp/239.253.92.82:8013$联通标清IPTV
CCTV-6电影,http://192.168.1.1:5555/rtp/239.253.92.193:6058$联通高清IPTV#http://192.168.1.1:5555/rtp/239.253.92.63:6009$联通标清IPTV
CCTV-7国防军事,http://192.168.1.1:5555/rtp/239.253.92.194:6059$联通高清IPTV#http://192.168.1.1:5555/rtp/239.253.92.7:8003$联通标清IPTV
CCTV-8电视剧,http://192.168.1.1:5555/rtp/239.253.92.195:6060$联通高清IPTV#http://192.168.1.1:5555/rtp/239.253.92.64:6010$联通标清IPTV
CCTV-9记录,http://192.168.1.1:5555/rtp/239.253.92.107:6020$联通高清IPTV#http://192.168.1.1:5555/rtp/239.253.92.9:8004$联通标清IPTV
CCTV-10科教,http://192.168.1.1:5555/rtp/239.253.92.196:6061$联通高清IPTV#http://192.168.1.1:5555/rtp/239.253.92.58:8005$联通标清IPTV
CCTV-11戏曲,http://192.168.1.1:5555/rtp/239.253.93.153:6321$联通标清IPTV
CCTV-12社会与法,http://192.168.1.1:5555/rtp/239.253.92.197:6062$联通高清IPTV#http://192.168.1.1:5555/rtp/239.253.92.59:8007$联通标清IPTV
CCTV-13新闻,http://192.168.1.1:5555/rtp/239.253.92.13:8008$联通标清IPTV
CCTV-14少儿,http://192.168.1.1:5555/rtp/239.253.92.198:6063$联通高清IPTV#http://192.168.1.1:5555/rtp/239.253.92.60:8009$联通标清IPTV
CCTV-15音乐,http://192.168.1.1:5555/rtp/239.253.93.154:6322$联通标清IPTV
CCTV-16奥运,http://192.168.1.1:5555/rtp/239.253.93.207:6385$联通高清IPTV#http://192.168.1.1:5555/rtp/239.253.93.208:6386$联通标清IPTV
CCTV-17农业,http://192.168.1.1:5555/rtp/239.253.93.150:6318$联通高清IPTV#http://192.168.1.1:5555/rtp/239.253.93.151:6319$联通标清IPTV
CETV-1教育,http://192.168.1.1:5555/rtp/239.253.92.211:6069$联通标清IPTV
CETV-2教育,http://192.168.1.1:5555/rtp/239.253.92.108:6136$联通标清IPTV
CETV-4教育,http://192.168.1.1:5555/rtp/239.253.92.200:6137$联通标清IPTV

河北频道,#genre#
河北卫视,http://192.168.1.1:5555/rtp/239.253.92.154:6011$联通标清IPTV
河北经济,http://192.168.1.1:5555/rtp/239.253.92.171:6001$联通标清IPTV
河北都市,http://192.168.1.1:5555/rtp/239.253.92.172:6002$联通标清IPTV
河北影视,http://192.168.1.1:5555/rtp/239.253.92.173:6003$联通标清IPTV
河北少儿,http://192.168.1.1:5555/rtp/239.253.92.174:6004$联通标清IPTV
河北公共,http://192.168.1.1:5555/rtp/239.253.92.175:6005$联通标清IPTV
河北农民,http://192.168.1.1:5555/rtp/239.253.92.176:6006$联通标清IPTV
睛彩河北,http://192.168.1.1:5555/rtp/239.253.92.104:6221$联通标清IPTV
河北杂技频道,http://192.168.1.1:5555/rtp/239.253.93.170:6338$联通标清IPTV
秦皇岛新闻综合,http://192.168.1.1:5555/rtp/239.253.92.52:6021$联通标清IPTV
秦皇岛公共,http://192.168.1.1:5555/rtp/239.253.92.53:6022$联通标清IPTV
秦皇岛影视,http://192.168.1.1:5555/rtp/239.253.92.54:6023$联通标清IPTV
昌黎电视,http://192.168.1.1:5555/rtp/239.253.92.109:6217$联通标清IPTV

卫视频道,#genre#
